,contract_name,strike,bid,ask,current_price,vol,open_interest,ticker,date_exp,avg_price,option_cost,BE_percent,BE_price
0,AAPL201030C00108000,108.0,5.95,6.0,112.91000366210938,747,1480,AAPL,"October 30, 2020",5.975,597.5,0.94,113.975
1,AAPL201030C00109000,109.0,5.1,5.2,112.91000366210938,80,1605,AAPL,"October 30, 2020",5.15,515.0,1.1,114.15
2,AAPL201030C00110000,110.0,4.5,4.55,112.91000366210938,1549,8884,AAPL,"October 30, 2020",4.525,452.50000000000006,1.43,114.525
3,AAPL201030C00111000,111.0,4.0,4.05,112.91000366210938,711,2870,AAPL,"October 30, 2020",4.025,402.50000000000006,1.87,115.025
4,AAPL201030C00112000,112.0,3.4,3.45,112.91000366210938,1258,7614,AAPL,"October 30, 2020",3.425,342.5,2.23,115.425
5,AAPL201030C00113000,113.0,2.94,2.95,112.91000366210938,3237,3250,AAPL,"October 30, 2020",2.9450000000000003,294.5,2.69,115.945
6,AAPL201030C00114000,114.0,2.46,2.48,112.91000366210938,5597,9793,AAPL,"October 30, 2020",2.4699999999999998,246.99999999999997,3.15,116.47
7,AAPL201030C00115000,115.0,2.07,2.09,112.91000366210938,9899,30310,AAPL,"October 30, 2020",2.08,208.0,3.69,117.08
8,AAPL201030C00116000,116.0,1.69,1.71,112.91000366210938,8763,24173,AAPL,"October 30, 2020",1.7,170.0,4.24,117.7
9,AAPL201030C00117000,117.0,1.38,1.4,112.91000366210938,5590,18533,AAPL,"October 30, 2020",1.39,139.0,4.85,118.39
10,FB201030C00262500,262.5,15.05,15.55,272.9219055175781,4,664,FB,"October 30, 2020",15.3,1530.0,1.79,277.8
11,FB201030C00265000,265.0,13.2,13.6,272.9219055175781,87,3643,FB,"October 30, 2020",13.399999999999999,1339.9999999999998,2.01,278.4
12,FB201030C00267500,267.5,11.95,12.25,272.9219055175781,81,1416,FB,"October 30, 2020",12.1,1210.0,2.45,279.6
13,FB201030C00270000,270.0,10.6,10.95,272.9219055175781,207,4567,FB,"October 30, 2020",10.774999999999999,1077.4999999999998,2.88,280.775
14,FB201030C00272500,272.5,9.2,9.35,272.9219055175781,670,823,FB,"October 30, 2020",9.274999999999999,927.4999999999999,3.24,281.775
15,FB201030C00275000,275.0,8.15,8.25,272.9219055175781,933,3201,FB,"October 30, 2020",8.2,819.9999999999999,3.77,283.2
16,FB201030C00277500,277.5,7.0,7.2,272.9219055175781,446,1362,FB,"October 30, 2020",7.1,710.0,4.28,284.6
17,FB201030C00280000,280.0,6.0,6.2,272.9219055175781,3267,10259,FB,"October 30, 2020",6.1,610.0,4.83,286.1
18,FB201030C00282500,282.5,5.05,5.25,272.9219055175781,1333,3506,FB,"October 30, 2020",5.15,515.0,5.4,287.65
19,FB201030C00285000,285.0,4.25,4.4,272.9219055175781,2015,7481,FB,"October 30, 2020",4.325,432.5,6.01,289.325
20,TSLA201030C00400000,400.0,13.65,14.0,411.44000244140625,1865,5150,TSLA,"October 30, 2020",13.825,1382.5,0.58,413.825
21,TSLA201030C00402500,402.5,11.4,11.75,411.44000244140625,67,1180,TSLA,"October 30, 2020",11.575,1157.5,0.64,414.075
22,TSLA201030C00405000,405.0,10.35,10.65,411.44000244140625,1142,531,TSLA,"October 30, 2020",10.5,1050.0,0.99,415.5
23,TSLA201030C00407500,407.5,8.65,8.9,411.44000244140625,398,1097,TSLA,"October 30, 2020",8.775,877.5,1.18,416.275
24,TSLA201030C00410000,410.0,7.7,7.8,411.44000244140625,2779,2425,TSLA,"October 30, 2020",7.75,775.0,1.53,417.75
25,TSLA201030C00412500,412.5,6.15,6.35,411.44000244140625,959,1528,TSLA,"October 30, 2020",6.25,625.0,1.78,418.75
26,TSLA201030C00415000,415.0,5.4,5.5,411.44000244140625,3096,2679,TSLA,"October 30, 2020",5.45,545.0,2.19,420.45
27,TSLA201030C00417500,417.5,4.4,4.6,411.44000244140625,869,681,TSLA,"October 30, 2020",4.5,450.0,2.57,422.0
28,TSLA201030C00420000,420.0,3.55,3.65,411.44000244140625,5731,5826,TSLA,"October 30, 2020",3.5999999999999996,359.99999999999994,2.96,423.6
29,TSLA201030C00422500,422.5,2.8,2.93,411.44000244140625,1085,1653,TSLA,"October 30, 2020",2.865,286.5,3.38,425.365
